"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"39","Dave DeBusschere",-0.721482163400049,2.16068269388225,1,1970,0,34.5030030483946,24.7802754501047,59.0395264777206,71.5937657114128,44.4771106990438,0,0,0,0,63.0383827782925,66.9776798763384,37.1349655785032,88.4759789769783,42.8134502923977,22.083918128655
"40","Connie Dierking",-1.26159489908283,0.326801700922058,0,1970,0,3.54278463609789,55.745407384251,66.8780186354438,63.5190918472652,41.7412644593426,0,0,0,0,53.6265446136694,30.1502687511937,15.4845721760542,48.9649122807018,35.380701754386,23.7035087719298
"41","Terry Dischinger",1.29394068976443,0.193015087279876,0,1970,0,75.4828329291688,35.2436599805812,46.6943184437201,44.9364134317695,26.7657308229089,0,0,0,0,46.0600146478409,56.6087146326158,65.796783625731,17.7483040935673,75.4260233918129,53.3453216374269
"42","Johnny Egan",-0.468375155206793,-0.975849861066949,0,1970,0,33.2776849735874,61.5448007960801,31.0716203313249,10.3543171654627,51.8515664466192,0,0,0,0,29.6939021432283,37.0328685893063,36.1293859649123,39.0277777777778,45.6450292397661,23.4111111111111
"43","Joe Ellis",-1.64574783421065,0.0488909371285997,0,1970,0,0.292397660818713,49.7954414675547,64.8173052813932,61.5702151305866,36.6499918659509,0,0,0,0,50.2091247338503,23.8545105636044,8.18809633733456,58.9502923976608,30.587134502924,19.8219298245614
"44","Leroy Ellis",-0.027652560527464,-0.924481882022578,0,1970,0,54.155813895346,46.5355685185521,27.2159665078678,47.5113122171946,10.8940069182228,0,0,0,0,29.0256051757493,42.2326471310469,42.1144005847953,41.2397660818713,57.0789473684211,30.0818713450292
"45","Keith Erickson",-0.477515654196884,-0.162833577900553,0,1970,0,45.7399441231154,49.104051795503,39.1578034114575,40.7923143854668,52.8400737655006,0,0,0,0,35.3767522849733,47.9222740090552,41.0582215342277,52.6413828689371,47.4070175438597,19.3295321637427
"46","Hank Finkel",-0.17394050599851,0.0239324810262483,0,1970,0,43.4233491866034,23.0908220181803,41.5669171485086,60.2768516313408,24.6128567208651,0,0,0,0,44.8355045526669,47.6002587469191,41.8220029239766,50.9953216374269,48.3842105263158,45.7049707602339
"47","Fred Foster",-0.632971935955147,-0.358400663931413,0,1970,0,32.5880007030732,37.453599951782,60.0338365764274,37.9815514490437,27.8219828058003,0,0,0,0,43.8696505709547,37.7386246850927,38.4868421052632,31.1239133870713,45.3026315789474,21.7915204678363
"48","Jim Fox",1.51278360858941,0.67810346544159,0,1970,0,78.5552811453998,61.2123080084788,53.6944172181573,57.4091714958588,22.0933617596945,0,0,0,0,54.2926576709296,59.3974496173618,67.5235542560104,19.1578947368421,76.553216374269,49.528947368421
"49","Walt Frazier",2.18241178125233,5.895259981232,1,1970,0,86.0677408503484,58.1895601316635,76.466901534714,51.4830886347914,94.5584323291035,0,0,0,0,85.8334433599136,97.5727232214095,87.8963507252981,94.2983215614795,76.9956140350877,67.7520467836257
"50","Dave Gambee",-0.0586071644734343,-1.44205273937459,0,1970,0,15.6230364443286,69.5234508055305,30.2596928097657,30.4195968961226,15.247776507529,0,0,0,0,26.2909762999685,29.7453370175974,32.7620563966995,26.8504365937675,42.5210526315789,56.3073099415205
"51","Dick Garrett",-0.784443489392304,-0.41620296131566,0,1970,0,21.2124323232131,68.7991130521829,48.102736308647,28.915288593392,45.1171250294251,0,0,0,0,39.1140633725841,39.5382884019311,32.4696587358808,47.8354562204598,41.3938596491228,16.6751461988304
"52","Herm Gilliam",-1.23310411763001,-1.27095507225153,0,1970,0,18.9714607768539,48.1365584508226,32.1514592023584,34.5095393083009,53.6954269519577,0,0,0,0,21.6828513993761,20.5710621811137,14.8718836565097,34.9824561403509,30.0447368421053,17.6099415204678
"53","Gail Goodrich",1.20547498864622,2.61858728958015,0,1970,0,39.2556238250386,85.6281015692061,74.2329011177833,38.296596191333,89.5471760579258,0,0,0,0,78.9492143899919,66.2260743731918,72.2587719298245,28.8421052631579,66.516081871345,69.1792397660819
"54","Bob Greacen",-0.873058811525658,-2.53137768529336,0,1970,0,40.7561666434105,37.7686749821928,9.11361586775814,10.0472044253665,11.5104208759588,0,0,0,0,7.27977790119345,17.3097684975376,20.3403580088432,12.1383540151191,28.5751461988304,25.130701754386
"55","Johnny Green",1.9465919521125,2.33960090402032,0,1970,0,91.8500403658365,0.292397660818713,63.8702883181012,74.8865725050531,27.4744139697519,0,0,0,0,65.7248954590418,75.3498522795404,76.197705802969,53.8573999100315,78.7076023391813,70.856432748538
"56","Lamar Green",-0.611100062191583,-2.09683215966639,0,1970,0,40.049659093479,26.5075709727838,16.3627322214528,43.9134842358927,3.36366551254695,0,0,0,0,14.3687852201985,17.8054290908623,22.1503831417624,11.0340794515023,32.8915204678363,34.8330409356725
"57","Hal Greer",0.0920442543247912,2.35557248885894,1,1970,0,38.9109118147437,80.4857250131522,80.9074521513832,43.1695377206213,73.1172084371495,0,0,0,0,73.1797463077585,64.5907683282857,60.8086622807017,61.4780701754386,54.8321637426901,29.7394736842105
"58","Gary Gregor",-1.07987646639522,-1.42269028008342,0,1970,0,24.5191168166404,54.7761839464227,35.8638162221395,44.5930688964745,16.258679886637,0,0,0,0,35.8229215655713,19.523746004606,21.7958089668616,16.4444444444444,36.3578947368421,11.7663742690058
"59","Richie Guerin",-2.4897581205582,-2.9877853492108,0,1970,0,44.848219574378,44.9145513446194,2.5717127740674,1.55592601413035,29.2883563227248,0,0,0,0,2.37403649364109,7.86830509399471,13.8066520467836,2.63157894736842,16.4695906432749,6.30438596491228
"60","Matt Guokas",0.0920171624236927,-0.886883226637406,0,1970,0,44.4553465182994,34.4968344732658,24.6069537203772,23.119790426292,49.154219430959,0,0,0,0,32.5731227927264,39.1941613689485,39.4709429824561,37.1157894736842,52.9277777777778,48.8941520467836
"61","Al Hairston",-1.46005432687885,-2.44950967529148,0,1970,0,47.0020643197876,44.6221536838007,7.83255960024212,12.712021380752,39.9283347460892,0,0,0,0,2.07466349889091,15.0641637790692,28.8377192982456,2.33918128654971,24.5511695906433,8.29678362573099
"62","Happy Hairston",1.56015255008905,3.00669092018406,0,1970,0,71.757572538933,71.7538652018585,70.8042627139525,75.9646098655386,34.0520958325536,0,0,0,0,64.0408365670992,80.4414613516684,77.843567251462,70.2997493734336,73.5640350877193,61.5508771929825
"63","Shaler Halimon",-0.87969815276398,-2.06791420925721,0,1970,0,26.3884350606229,31.4726398500894,26.2446212253602,13.9226270805218,36.2853510056253,0,0,0,0,10.5097813836911,14.7717661182505,13.354108956602,22.3099415204678,28.2327485380117,34.5406432748538
"64","Art Harris",-1.96353179210906,-1.9129910884469,0,1970,0,4.74241732739315,24.3288222976587,35.4922864481191,15.9226623622908,50.1609685511974,0,0,0,0,30.6258736319985,6.0276259452271,7.33024691358025,12.4795321637427,25.043567251462,13.343567251462
"65","Clem Haskins",-0.170681538515528,2.76981105201043,0,1970,0,28.657309613553,70.7708868878301,74.9933362774169,42.3397363290137,90.9040447420734,0,0,0,0,80.4295959248304,62.5024761134081,57.3250962772786,66.5422906860648,50.9733918128655,30.9166666666667
"66","John Havlicek",1.09998381695673,4.64870370703848,1,1970,0,57.3315695638917,93.2065478577603,86.1431565214626,61.9270020198813,85.2342748851957,0,0,0,0,90.9789130225061,82.3558449721447,77.3107537361923,74.4912280701754,65.2464912280702,51.8757309941521
"67","Connie Hawkins",2.1459296634887,4.17583039739908,1,1970,0,76.2686636962186,79.2244451458835,87.4203578336149,73.6775951946231,70.6554901977573,0,0,0,0,89.0694052057369,80.7764832852825,85.9608512020793,36.1052631578947,74.3488304093567,72.3836257309941
"68","Elvin Hayes",-0.609954931724935,4.5487003751168,1,1970,0,27.1459289383116,14.3169688181725,93.5014419894148,95.3041794052139,38.917227540157,0,0,0,0,91.5926282910974,73.3678613899997,54.0864356011981,89.9520753102268,47.1146198830409,36.7450292397661
"69","Walt Hazzard",0.468091390069904,1.61443835461489,0,1970,0,58.1865083682833,73.3772670022839,62.4975360441758,36.9162292480272,85.8085537201215,0,0,0,0,69.0405602648029,55.12241039575,61.7422621594637,32.6850663243475,61.772514619883,37.2874269005848
"70","Brian Heaney",-0.239527809953669,-2.49849758173767,0,1970,0,50.9880542435083,40.3940339353595,5.83642953203711,1.94528553661681,5.8618361423324,0,0,0,0,3.29984218795805,24.3740507307668,34.6700083542189,11.7518796992481,68.6704678362573,10.9815789473684
"71","Fred Hetzel",0.198762931560101,-1.3576306534925,0,1970,0,57.8560927596027,59.8263324315669,24.9464067270819,29.6807251915611,13.7761436289601,0,0,0,0,20.5629903820454,39.8788573299501,46.5382205513784,25.5505430242272,64.8540935672515,26.3078947368421
"72","Bill Hewitt",-1.3214139901159,-1.9271696590596,0,1970,0,16.8334104368523,22.7947563014239,16.6963593924456,48.7040666988273,20.0258972317229,0,0,0,0,18.8992808804294,11.5204958202421,10.3087044534413,27.3135402609087,22.8315789473684,37.9722222222222
"73","Bill Hosket",0.702273294391067,-1.92797089401508,0,1970,0,54.8262222941479,50.1206612731036,12.5623355342304,13.5230610462809,7.2710907331775,0,0,0,0,8.11513334981077,36.7404709284876,43.6220760233918,23.8742690058479,73.2716374269006,50.8985380116959
"74","Bailey Howell",-0.417883313714508,0.153567042962608,0,1970,0,14.3228463078274,60.1748219091857,51.7655976974622,55.6368111906887,28.2102920050546,0,0,0,0,50.7629364478544,44.6078790205926,36.4712594494366,49.7230067037512,43.7906432748538,42.8657894736842
"75","Lou Hudson",2.39201493087158,3.56232187469598,1,1970,0,100,83.3098339769232,89.2195838050446,42.7753301050515,57.2462604779396,0,0,0,0,83.4031126536488,84.5288384582503,91.4053362573099,29.2428362573099,77.3380116959064,31.6514619883041
"76","Darrall Imhoff",1.55972975063694,2.24581654967521,0,1970,0,84.1552780861502,15.2754640659178,56.0156806102125,69.7717861295084,47.9977883623379,0,0,0,0,62.1310710112705,73.6882398658944,69.6669812717448,67.0014064697609,75.9184210526316,59.9812865497076
"77","Luke Jackson",0.0420017615419164,-1.36794450631832,0,1970,0,31.065579730039,45.5820354586379,21.6138729963352,48.1542866991783,25.8406244728199,0,0,0,0,11.9302579250361,31.4070557419988,28.5453216374269,40.3306464359096,37.0426900584795,64.5052631578947
"78","Gus Johnson",-0.751393658177457,2.77625947474411,1,1970,0,32.2394912409195,35.8801205036595,68.146792840782,85.7534252152018,56.5948696872639,0,0,0,0,71.7431983253914,63.3391784881512,40.1259559154296,82.5686009896536,43.4482456140351,18.4947368421053
"79","Neil Johnson",-1.65509663242843,-2.87242220566746,0,1970,0,37.9737245628629,41.3156143556209,4.50140075177115,13.0367396621267,5.56943848151369,0,0,0,0,4.60556988700914,8.52034505652415,14.5337301587302,5.7297410192147,20.1543859649123,17.0175438596491
"80","Rich Johnson",-0.655495201873809,-1.70177060923717,0,1970,0,50.4612117052754,30.3159761498251,23.1107148444342,28.5708237411024,7.67376732931175,0,0,0,0,18.4616966262087,29.3086276723831,33.177575348628,23.2663967611336,45.0102339181287,15.2555555555556
"81","Wali Jones",-0.47447460170535,-0.271055986798253,0,1970,0,17.6234904960352,72.9147424167789,49.0584477762796,18.302281984111,58.901547708668,0,0,0,0,43.5329848348381,40.2327323073005,38.0594916779127,40.7165991902834,44.7178362573099,27.3350877192982
"82","Bob Kauffman",0.790643169440387,-1.60676199965489,0,1970,0,37.6586586766134,38.1073606632559,17.1443772018468,30.003423434151,22.6018201005197,0,0,0,0,18.0337398658538,32.0428813902304,35.4178088450292,24.5528143274854,52.5853801169591,76.0956140350877
"83","Joe Kennedy",-4.29851113235436,-3.73978385123249,0,1970,0,30.3723253783711,46.1781259462018,1.50046691725705,9.72642768308403,8.3007971368147,0,0,0,0,0.292397660818713,0.292397660818713,0.292397660818713,2.04678362573099,6.33479532163743,4.41198830409357
"84","Toby Kimball",-0.641287024584065,-0.378845851815713,0,1970,0,27.4573315258204,14.6525678902892,29.136477228611,62.8314238221359,23.4406393996438,0,0,0,0,36.85203492736,40.6089626724807,21.1641793878636,59.9872408293461,34.4535087719298,51.2409356725146
"85","Jim King",-0.299622415015413,-2.03959547025135,0,1970,0,40.4021175760867,51.9804246783135,15.6154191216882,14.3074837301754,29.7422387824411,0,0,0,0,8.75456163305602,22.9891274400131,28.2529239766082,20.3880288957688,39.4394736842105,39.2918128654971
"86","Don Kojis",-0.139572424709761,0.438670523614294,0,1970,0,34.1627994709496,53.2179941573146,62.8269234874395,56.5298994091564,26.3609089830481,0,0,0,0,33.4378390315537,53.765699889953,48.2390873015873,59.344193817878,50.2885964912281,40.2190058479532
"87","Howard Komives",-0.888817549401585,-0.71769673029828,0,1970,0,8.37973179636609,68.17886884604,45.9704384602826,19.547917913092,62.1186890377033,0,0,0,0,47.1254227416796,22.5378060648086,25.0320924261874,18.4999286834974,37.677485380117,27.677485380117
