"","stat","loading","year"
"638","WS",0.392892375856305,1991
"639","OWS",0.35091389692605,1991
"640","DWS",0.350969117095555,1991
"641","x3PAVG",0.328579007910925,1992
"642","x2PAVG",0.479831175890899,1992
"643","xFTAVG",0.406485819717614,1992
"644","ASTtTOV",0.207952325897023,1992
"645","SPBtPFR",0.0272644743875781,1992
"646","TS",0.623278602020631,1992
"647","FTr",0.253186530892786,1992
"648","PTS",0.367354432392278,1992
"649","TRB",0.306653833005745,1992
"650","AST",0.257934243425452,1992
"651","STL",0.321203048266841,1992
"652","BLK",0.216812899298302,1992
"653","PER",0.382977229597755,1992
"654","WS",0.388942380948762,1992
"655","OWS",0.354615795302767,1992
"656","DWS",0.361392786159947,1992
"657","x3PAVG",0.342606255072755,1993
"658","x2PAVG",0.480141137201777,1993
"659","xFTAVG",0.334628598840757,1993
"660","ASTtTOV",0.130645400853735,1993
"661","SPBtPFR",0.203695216812912,1993
"662","TS",0.653073136775138,1993
"663","FTr",0.234615982182518,1993
"664","PTS",0.371339646725055,1993
"665","TRB",0.302808777681954,1993
"666","AST",0.265644797541377,1993
"667","STL",0.316794348703506,1993
"668","BLK",0.218825982386894,1993
"669","PER",0.390308837480617,1993
"670","WS",0.390217223753706,1993
"671","OWS",0.347820315393844,1993
"672","DWS",0.35498400020256,1993
"673","x3PAVG",0.1943929333052,1994
"674","x2PAVG",0.527640571450552,1994
"675","xFTAVG",0.482916902502724,1994
"676","ASTtTOV",0.363714800845995,1994
"677","SPBtPFR",0.107768815019199,1994
"678","TS",0.329656860928908,1994
"679","FTr",0.444996472249977,1994
"680","PTS",0.373168420035904,1994
"681","TRB",0.311321494024016,1994
"682","AST",0.261254938520726,1994
"683","STL",0.318319163456529,1994
"684","BLK",0.227138559181778,1994
"685","PER",0.38739175061114,1994
"686","WS",0.385994771425257,1994
"687","OWS",0.346448404968815,1994
"688","DWS",0.351511408832799,1994
"689","x3PAVG",0.412075429926136,1995
"690","x2PAVG",0.0860829934114482,1995
"691","xFTAVG",0.481241972810431,1995
"692","ASTtTOV",0.522081976671608,1995
"693","SPBtPFR",0.172479163726564,1995
"694","TS",0.402302328452712,1995
"695","FTr",0.356404133166854,1995
"696","PTS",0.374809950423106,1995
"697","TRB",0.301267176874629,1995
"698","AST",0.263779068525845,1995
"699","STL",0.32401712103753,1995
"700","BLK",0.213868798791748,1995
"701","PER",0.385096780920655,1995
"702","WS",0.392514481159542,1995
"703","OWS",0.346286475636583,1995
"704","DWS",0.355201017148292,1995
"705","x3PAVG",0.461243790317442,1996
"706","x2PAVG",0.069724152559917,1996
"707","xFTAVG",0.545532360450693,1996
"708","ASTtTOV",0.545677388324009,1996
"709","SPBtPFR",0.0719613241216721,1996
"710","TS",0.323203617963891,1996
"711","FTr",0.27818038964329,1996
"712","PTS",0.37636401052585,1996
"713","TRB",0.300066368152048,1996
"714","AST",0.280905706770532,1996
"715","STL",0.331419470166145,1996
"716","BLK",0.192052121342218,1996
"717","PER",0.382351950155363,1996
"718","WS",0.389137753080724,1996
"719","OWS",0.351831771973499,1996
"720","DWS",0.348242167522967,1996
"721","x3PAVG",0.450741404445952,1997
"722","x2PAVG",0.239811237975818,1997
"723","xFTAVG",0.56654993502426,1997
"724","ASTtTOV",0.455086216785497,1997
"725","SPBtPFR",0.18798086570825,1997
"726","TS",0.210161886028193,1997
"727","FTr",0.362954044836417,1997
"728","PTS",0.375899866007266,1997
"729","TRB",0.296819549968276,1997
"730","AST",0.289428519846125,1997
"731","STL",0.32972468958758,1997
"732","BLK",0.186740066869064,1997
"733","PER",0.38406021312315,1997
"734","WS",0.390586225892904,1997
"735","OWS",0.356059408367632,1997
"736","DWS",0.3411747418048,1997
"737","x3PAVG",0.113672515956905,1998
"738","x2PAVG",0.510663487551652,1998
"739","xFTAVG",0.468882543201461,1998
"740","ASTtTOV",0.400475118215489,1998
"741","SPBtPFR",0.140306548718798,1998
"742","TS",0.267487508687925,1998
"743","FTr",0.504811555980425,1998
"744","PTS",0.37452114053247,1998
"745","TRB",0.320481924647285,1998
"746","AST",0.267845948142989,1998
"747","STL",0.313744863851385,1998
"748","BLK",0.212231764426586,1998
"749","PER",0.381480211413255,1998
"750","WS",0.390556865331478,1998
"751","OWS",0.353481177704029,1998
"752","DWS",0.344666328727929,1998
"753","x3PAVG",0.00828997425894035,1999
"754","x2PAVG",0.555617591709657,1999
"755","xFTAVG",0.45031919457628,1999
"756","ASTtTOV",0.36878326581042,1999
"757","SPBtPFR",0.0103290370828993,1999
"758","TS",0.34128846715229,1999
"759","FTr",0.485641212363302,1999
"760","PTS",0.374399866594775,1999
