"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"260","Reggie Theus",1986,"1503","304","788","82","2919","6","35","0.171","540","1102","0.49","17.9","6.4","4.5","1.9","0.556","0.431"
"261","Peter Thibeaux",1986,"231","75","28","42","531","2","5","0.4","98","228","0.43","9.5","-0.2","-0.5","0.3","0.455","0.206"
"262","David Thirdkill",1986,"163","70","15","49","385","0","1","0","54","109","0.495","12.1","1","0.5","0.5","0.548","0.8"
"263","Isiah Thomas*",1986,"1609","277","830","77","2790","26","84","0.31","583","1164","0.501","21.2","8.8","6.1","2.7","0.554","0.37"
"264","Jim Thomas",1986,"13","8","12","6","69","0","0","0","6","15","0.4","5.3","-0.1","-0.2","0","0.409","0.133"
"265","Bernard Thompson",1986,"517","141","132","61","1281","0","2","0","195","397","0.491","11.8","2.1","1.2","1","0.552","0.393"
"266","LaSalle Thompson",1986,"1024","770","168","80","2377","0","1","0","411","793","0.518","16.4","5.6","2.5","3.1","0.559","0.348"
"267","Mychal Thompson",1986,"1204","608","176","82","2569","0","0","0","503","1011","0.498","13.7","3.7","1.3","2.4","0.525","0.306"
"268","Paul Thompson",1986,"179","63","24","23","432","2","12","0.167","68","182","0.374","9.3","0.1","-0.4","0.4","0.42","0.222"
"269","Bob Thornton",1986,"336","290","43","71","1323","0","0","0","125","274","0.456","6.9","0.9","-0.6","1.6","0.487","0.591"
"270","Otis Thorpe",1986,"742","420","84","75","1675","0","0","0","289","492","0.587","14.4","3.8","2.3","1.5","0.617","0.504"
"271","Sedale Threatt",1986,"696","121","193","70","1754","1","24","0.042","309","660","0.468","11.1","2.1","0.5","1.6","0.481","0.132"
"272","Wayman Tisdale",1986,"1192","584","79","81","2277","0","2","0","516","1000","0.516","14","3.2","0.7","2.6","0.539","0.234"
"273","Andrew Toney",1986,"25","5","12","6","84","0","2","0","11","34","0.324","2.1","-0.2","-0.3","0","0.316","0.222"
"274","Sedric Toney",1986,"80","25","26","13","230","3","10","0.3","25","56","0.446","7.3","0","-0.2","0.2","0.502","0.47"
"275","Kelly Tripucka",1986,"1622","348","265","81","2626","12","25","0.48","603","1211","0.498","18.3","7.5","5.6","1.9","0.567","0.359"
"276","Trent Tucker",1986,"818","169","192","77","1788","41","91","0.451","308","649","0.475","14.6","4","2.3","1.7","0.522","0.135"
"277","Elston Turner",1986,"369","201","165","73","1324","0","9","0","165","370","0.446","9.6","1.3","-0.3","1.6","0.459","0.14"
"278","Jeff Turner",1986,"226","137","14","53","650","0","1","0","84","170","0.494","8.4","0.8","0.1","0.7","0.55","0.456"
"279","Melvin Turpin",1986,"1097","556","55","80","2292","0","4","0","456","834","0.547","16.4","6","3.4","2.6","0.585","0.272"
"280","Terry Tyler",1986,"674","313","94","71","1651","0","3","0","295","646","0.457","13.3","1.9","0.1","1.9","0.483","0.173"
"281","Darnell Valentine",1986,"456","125","246","62","1217","4","14","0.286","157","374","0.42","12.4","1","0.1","0.9","0.49","0.451"
"282","Kiki Vandeweghe",1986,"1962","216","187","79","2791","1","8","0.125","718","1324","0.542","19.7","9.9","9","0.9","0.614","0.452"
"283","Nick Vanos",1986,"54","60","16","11","202","0","0","0","23","72","0.319","3.4","-0.4","-0.6","0.2","0.329","0.319"
"284","Pete Verhoeven",1986,"206","160","29","61","749","1","2","0.5","89","165","0.539","10.1","1.2","0.7","0.5","0.554","0.257"
"285","Jay Vincent",1986,"1106","368","180","80","1994","0","3","0","442","916","0.483","16.4","3.4","2.2","1.2","0.532","0.298"
"286","Sam Vincent",1986,"184","48","69","57","432","1","4","0.25","58","158","0.367","10","0.3","-0.3","0.6","0.477","0.432"
"287","Danny Vranes",1986,"301","281","68","80","1569","0","4","0","131","280","0.468","7.8","2.1","0.2","1.9","0.475","0.264"
"288","Granville Waiters",1986,"27","28","8","43","156","0","1","0","13","38","0.342","3.2","-0.2","-0.3","0.1","0.324","0.154"
"289","Darrell Walker",1986,"838","220","337","81","2023","0","10","0","324","743","0.436","14","2.1","-0.9","3","0.479","0.368"
"290","Bill Walton*",1986,"606","544","165","80","1546","0","0","0","231","411","0.562","17","5","1.6","3.4","0.606","0.491"
"291","Bryan Warrick",1986,"227","69","115","36","685","3","12","0.25","82","170","0.482","11.1","1","0.3","0.7","0.536","0.374"
"292","Spud Webb",1986,"616","123","337","79","1229","2","11","0.182","197","401","0.491","18.5","3.5","1.9","1.6","0.578","0.667"
"293","Scott Wedman",1986,"634","192","83","79","1402","17","48","0.354","269","557","0.483","12.5","2.7","0.9","1.8","0.499","0.112"
"294","Bill Wennington",1986,"189","132","21","56","562","0","4","0","72","149","0.483","11.4","0.9","0.5","0.4","0.524","0.405"
"295","Mark West",1986,"280","322","20","67","1172","0","0","0","113","209","0.541","7.7","0.9","-0.6","1.5","0.55","0.493"
"296","Ennis Whatley",1986,"35","14","23","14","107","0","0","0","15","35","0.429","11.5","0","-0.1","0.1","0.444","0.286"
"297","Rory White",1986,"875","181","74","75","1761","1","9","0.111","354","675","0.524","14","2.6","2.3","0.3","0.56","0.325"
"298","Willie White",1986,"173","44","53","43","343","6","21","0.286","68","147","0.463","15.1","0.5","0.1","0.4","0.486","0.137"
"299","Jerome Whitehead",1986,"312","328","19","81","1079","0","0","0","126","294","0.429","7.9","0.3","-0.4","0.7","0.463","0.33"
"300","Mitchell Wiggins",1986,"531","159","101","78","1198","1","12","0.083","221","477","0.463","12.6","2","1.1","0.9","0.491","0.241"
"301","Jamaal Wilkes*",1986,"75","29","15","13","195","1","3","0.333","25","62","0.403","10.2","0","0","0","0.488","0.415"
"302","Dominique Wilkins*",1986,"2366","618","206","78","3049","13","70","0.186","875","1827","0.479","23.3","10.8","7","3.9","0.536","0.372"
"303","Gerald Wilkins",1986,"1013","208","161","81","2025","7","25","0.28","430","909","0.473","12.2","0.7","-1.2","1.9","0.488","0.254"
"304","Jeff Wilkins",1986,"352","272","46","75","1126","0","0","0","147","374","0.393","7.2","0.3","-0.8","1.1","0.424","0.249"
"305","Buck Williams",1986,"1301","986","131","82","3070","0","2","0","500","954","0.524","15.1","6.8","2.8","4","0.565","0.465"
"306","Freeman Williams",1986,"69","12","7","9","110","7","14","0.5","18","53","0.34","12.5","-0.1","-0.2","0.1","0.463","0.254"
"307","Gus Williams",1986,"1036","166","453","77","2284","30","116","0.259","404","897","0.45","15","2.8","0.7","2.2","0.473","0.186"
"308","Guy Williams",1986,"7","6","0","5","25","0","0","0","2","5","0.4","8.5","0","0","0","0.458","1.2"
"309","Herb Williams",1986,"1549","710","174","78","2770","1","12","0.083","626","1263","0.496","17.9","6.2","2","4.2","0.533","0.316"
"310","Pete Williams",1986,"151","146","14","53","573","0","0","0","67","111","0.604","11.6","1.4","0.6","0.8","0.587","0.36"
"311","Ray Williams",1986,"355","86","187","47","827","6","19","0.316","111","287","0.387","13.5","1","0","1","0.491","0.412"
"312","Sly Williams",1986,"17","15","2","6","54","0","4","0","5","17","0.294","-0.6","-0.2","-0.2","0.1","0.323","0.571"
"313","Kevin Willis",1986,"1010","704","45","82","2300","0","6","0","419","805","0.52","14.1","4.7","1.4","3.3","0.545","0.324"
"314","Voise Winters",1986,"6","3","0","4","17","0","1","0","3","12","0.25","-5.6","-0.1","-0.1","0","0.231","0"
"315","Randy Wittman",1986,"1043","170","306","81","2760","5","16","0.313","462","865","0.534","13","5.9","3.9","2","0.555","0.153"
"316","Al Wood",1986,"902","244","114","78","1749","5","37","0.135","350","780","0.449","13.5","2.5","0.7","1.8","0.489","0.293"
"317","Leon Wood",1986,"532","90","182","68","1198","41","114","0.36","143","352","0.406","13.3","1.9","1.1","0.9","0.498","0.333"
"318","Mike Woodson",1986,"1264","226","197","81","2417","2","13","0.154","508","1060","0.479","14.2","4","2.5","1.5","0.527","0.269"
"319","Orlando Woolridge",1986,"1448","350","213","70","2248","4","23","0.174","536","1067","0.502","19.6","5.6","5.2","0.4","0.56","0.424"
"320","James Worthy*",1986,"1500","387","201","75","2454","0","13","0","629","1073","0.586","20.4","9.5","6.7","2.7","0.613","0.289"
"321","Danny Young",1986,"568","120","303","82","1901","24","74","0.324","203","375","0.541","13.7","4.8","2.7","2.1","0.573","0.236"
"322","Michael Young",1986,"0","0","0","2","2","0","0","0","0","2","0","-32.2","0","0","0","0","0"
