"","Player","PC1","PC2","allstar"
"125","Raymond Felton",-1.84594225139998,1.52461344599191,0
"126","Michael Finley",-0.15175412533125,0.578209031306202,0
"127","Derek Fisher",-1.1027186885872,0.527421397535966,0
"128","T.J. Ford",-0.872162375458618,2.32692258022859,0
"129","Danny Fortson",0.492458649830983,-2.12527056412972,0
"130","Jeff Foster",0.0587284816324031,0.913088360633673,0
"131","Randy Foye",0.0209555980502479,0.104614443096059,0
"132","Adonal Foyle",0.620042547982609,-1.55956928554773,0
"133","Steve Francis",0.286599772913378,0.968435107068171,0
"134","Matt Freije",-2.43226402356964,-2.50663945222009,0
"135","Channing Frye",-1.27233965372292,-0.350672175222772,0
"136","Dan Gadzuric",-0.197534278425855,-1.17193455404847,0
"137","Jorge Garbajosa",-0.456503454807786,0.537595073406782,0
"138",NA,0.278756844685181,-0.680088584791482,0
"139","Kevin Garnett",-0.0223483904039048,6.50191482667356,1
"140","Pat Garrity",-0.808224116447785,-2.18748653964378,0
"141","Pau Gasol",2.05514438527972,4.22948326142085,0
"142","Rudy Gay",-0.683439719227451,-0.411862294609437,0
"143",NA,0.0454139770360606,-1.31803433200618,0
"144","Devean George",-0.656387976976653,-0.523645892921525,0
"145","Daniel Gibson",0.627481793597092,-1.00237236441504,0
"146",NA,1.71077995331414,4.29683118658703,0
"147","Gordan Giricek",0.893786440344721,-0.774341592733604,0
"148","Andreas Glyniadakis",-0.344182191598624,-2.9801652470191,0
"149","Ryan Gomes",0.0869030433106248,1.20516513809802,0
"150","Drew Gooden",-0.20612125090306,2.46832333349927,0
"151","Ben Gordon",1.20474850615963,3.63677329053483,0
"152","Joey Graham",0.563902487341602,-0.458865299273489,0
"153","Stephen Graham",-0.253721378414579,-2.42986594111871,0
"154","Danny Granger",0.989399276413135,2.00445109485259,0
"155","Gerald Green",-0.187519455155494,-0.510408968860963,0
"156","Willie Green",-1.60542720334187,-1.18702458785946,0
"157","Orien Greene",-0.802221535761424,-2.47381610995798,0
"158","Lynn Greer",0.136636070168899,-1.73496177169206,0
"159","Adrian Griffin",-0.236581250029049,-1.33244215365508,0
"160","Eddie Griffin",-2.32499234947257,-2.68127438098439,0
"161","Mike Hall",-2.80637436973744,-2.53053087091043,0
"162","Richard Hamilton",0.195775841862156,3.48088590163437,1
"163","Matt Harpring",0.694723791568572,1.02383688281466,0
"164","Al Harrington",0.985092821975425,1.82642809294109,0
"165","Junior Harrington",-0.672873020266719,-1.70131526157433,0
"166","Othella Harrington",-0.046959120870651,-2.36312869727199,0
"167","Devin Harris",0.702411407210473,1.78864407877347,0
"168","David Harrison",0.326918059967342,-2.39821004170475,0
"169","Jason Hart",-0.459506528880928,-0.2030699832403,0
"170","Udonis Haslem",0.205583038674348,1.85743132335277,0
"171","Trenton Hassell",0.16096318771407,-0.137790774437107,0
"172","Chuck Hayes",1.22039812744848,1.44018422892814,0
"173","Jarvis Hayes",-0.453546824338538,-0.928615912560675,0
"174","Brendan Haywood",1.21839843084229,0.311018767104914,0
"175","Luther Head",1.77435900032009,1.45649475787823,0
"176","Alan Henderson",1.9627877791821,-1.08748323504187,0
"177","Walter Herrmann",2.35091099794674,-0.265171493291812,0
"178",NA,2.06166682159857,1.95589218438188,0
"179","Grant Hill",1.2055077412009,1.73789851114792,0
"180","Kirk Hinrich",0.974453465154904,4.3217023040001,0
"181","Robert Hite",-2.49299098069657,-2.53867821981941,0
"182","Julius Hodge",0.34930526954254,-1.75367212699187,0
"183","Ryan Hollins",1.29208373028758,-2.2441984427322,0
"184","Robert Horry",-0.625901246327573,-0.313360163661072,0
"185","Eddie House",0.542663396256893,-0.708055476569296,0
"186","Dwight Howard",3.22590338210323,5.25356585344883,1
"187","Josh Howard",0.554363990666867,4.03395582523896,1
"188","Juwan Howard",-0.201051945517973,1.30908883983395,0
"189","Troy Hudson",-0.792527552116222,-1.67273025890595,0
"190","Larry Hughes",-1.62736703342814,1.72062018727224,0
"191","Kris Humphries",0.0791543912169878,-1.23604645339629,0
"192","Lindsey Hunter",-0.660410231059916,-1.21647354527377,0
"193","Steven Hunter",1.3156289512487,-0.155118115604333,0
"194","Andre Iguodala",-0.0669846839273414,4.09058414312836,0
"195","Zydrunas Ilgauskas",0.128062177182481,2.57132193713688,0
"196","Mile Ilic",-4.31364967748769,-3.68893294395948,0
"197","D.J. Mbenga",-0.608798033638126,-2.54353533520076,0
"198","Ersan Ilyasova",-0.498126934576357,-1.25758467949419,0
"199","Allen Iverson",-0.748000977849523,4.00902205538354,1
"200","Royal Ivey",-0.224355716996944,-2.0440326912168,0
"201","Jarrett Jack",0.51994174369567,1.58987108610086,0
"202","Bobby Jackson",-1.01809501445211,0.288029250187895,0
"203","Luke Jackson",-0.14987033799198,-2.05167496826039,0
"204","Marc Jackson",-1.15331165347808,-1.06048170315967,0
"205","Stephen Jackson",-0.277275912184722,1.46100954578438,0
"206","Jerome James",-0.745321471752516,-2.48281870704356,0
"207","LeBron James",0.602068458407079,7.37364104920342,1
"208","Mike James",-0.111876198506538,0.297844350617361,0
"209","Antawn Jamison",0.526611460143288,3.3293987869551,0
"210","Marko Jaric",-0.191678451311724,-0.748363187371101,0
"211",NA,-0.213780800579728,-1.12207614537133,0
"212","Al Jefferson",0.931132264753548,3.50753855120103,0
"213","Richard Jefferson",0.448617850594025,1.3668007668727,0
"214","Jared Jeffries",-0.490104513748161,-0.928492496614144,0
"215","Alexander Johnson",1.08949044379513,-1.28917314603429,0
"216","Amir Johnson",0.96934408132761,0.0433689492024501,0
"217","Anthony Johnson",-0.66836369364778,-0.995213572304272,0
"218","DerMarr Johnson",-2.04229317092626,-2.30488829699325,0
"219","Joe Johnson",1.32550717544108,3.06912199298026,1
"220","Linton Johnson",0.374254401141342,-0.959506175067789,0
"221","Bobby Jones",-0.135252128270566,-2.15268087089539,0
"222","Dahntay Jones",0.293031827307112,-1.34076164939585,0
"223","Damon Jones",0.112697624609275,-0.705514228433536,0
"224","Dwayne Jones",2.34900976487157,-2.86951057382501,0
"225","Eddie Jones",0.187201604269723,0.0532440285572136,0
"226","Fred Jones",-0.787403987975352,-1.02603211443546,0
"227","James Jones",-0.361112743983795,-0.839335079899857,0
"228","Jumaine Jones",-1.80631511929539,-2.67985497127448,0
"229","Solomon Jones",0.83819106033013,-1.34597580218905,0
"230","Chris Kaman",-0.497699347576733,1.00230676197855,0
"231","Jason Kapono",2.57432633144664,0.55266803710157,0
"232","Viktor Khryapa",-0.827710662218261,-1.88666012854695,0
"233","Jason Kidd",-0.639110051984477,5.12351773980302,1
"234","Tarence Kinsey",-0.0414995316958561,-1.23490715395028,0
"235","Andrei Kirilenko",0.291502993935194,1.29779138776053,0
"236","Linas Kleiza",0.473356190639567,-0.429493748631373,0
"237","Brevin Knight",-1.17974464022845,0.581190002580081,0
"238","Yaroslav Korolev",-1.98047994976844,-2.75191088882755,0
"239","Kyle Korver",1.1220737350466,1.18082573564306,0
"240","Nenad Krstic",1.33342875613379,1.6057497550369,0
"241","Raef LaFrentz",-1.47028021507773,-1.95304015278068,0
"242","James Lang",-0.00633201871996064,-2.48836786764381,0
"243","David Lee",2.48742341055651,3.23655212350646,0
"244","Rashard Lewis",1.75484103659149,3.87671937628559,0
"245","Randy Livingston",-4.4369509383955,-3.18047309903995,0
"246","Shaun Livingston",-0.30449210458167,0.755194467355209,0
"247","Kyle Lowry",0.0755078330814379,-0.0494800536143595,0
"248","John Lucas III",-0.873283365768181,-1.90457329067376,0
"249","Tyronn Lue",-0.322068717546021,0.172971266889633,0
"250","Mark Madsen",0.587924062909723,-2.2343441968816,0
"251","Corey Maggette",0.153403650605982,2.93001935477755,0
"252","Jamaal Magloire",0.498234319622554,-0.53690763195372,0
"253","Renaldo Major",-6.87372230099187,-4.47496094828012,0
"254","Stephon Marbury",-0.226612771410032,2.40606133802527,0
"255","Shawn Marion",1.87009547202716,5.47637925921363,1
"256","Damir Markota",-0.665326568036993,-2.71362052560967,0
"257","Sean Marks",-1.1811287344119,-2.54705876854185,0
"258","Donyell Marshall",0.193581499343318,0.17214665909437,0
"259","Rawle Marshall",-0.75224398629588,-2.39815045710985,0
"260","Darrick Martin",-0.849842206616616,-2.20987784427461,0
"261","Kenyon Martin",-0.259914805436166,-0.264941245072211,0
"262","Kevin Martin",1.7622037323333,3.90669746614377,0
"263","Desmond Mason",-0.723128057980382,-0.00580989286836689,0
"264","Roger Mason",-1.09039023587712,-2.40427799340875,0
"265","Jason Maxiell",0.325121014568825,-0.977693793607285,0
"266","Sean May",0.667039888337664,1.07259988710692,0
"267","Rashad McCants",-1.41082247266779,-2.12346136186659,0
"268","Chris McCray",-4.31364967748769,-3.26450432285655,0
"269","Antonio McDyess",0.777661338056557,1.48582147514104,0
"270","Ivan McFarlin",-0.393892533995879,-2.36662614197892,0
"271","Tracy McGrady",-0.979565626902684,5.17020589687066,1
"272","Jeff McInnis",-1.46712005418307,-1.66658299115125,0
"273","Aaron McKie",1.33251495959883,-1.88703786573997,0
"274","Keith McLeod",-0.262187980310896,-1.53621797723355,0
"275","Stanislav Medvedenko",0.420925947347141,-2.22044945640581,0
"276","Pops Mensah-Bonsu",1.38235787355009,-2.33332193513291,0
"277","C.J. Miles",-1.63618639267604,-2.57779903376367,0
"278","Darko Milicic",-0.387312718104952,0.603335279575109,0
"279","Andre Miller",-0.362378751264262,3.03671237672697,0
"280","Brad Miller",-0.519530403813675,0.904403718343784,0
"281","Mike Miller",2.23840934901515,2.36505562398065,0
"282","Paul Millsap",0.948328928242776,0.663105240959222,0
"283","Yao Ming",1.70225035599757,5.20607436583996,1
"284","Cuttino Mobley",0.465639144866646,1.42771151062627,0
"285","Nazr Mohammed",0.745854305578597,-0.282735902456857,0
"286","Mikki Moore",2.38888833552168,1.33358408531096,0
"287","Randolph Morris",-2.22885319643616,-2.49078455850659,0
"288","Adam Morrison",-2.13799301609216,-1.19679306364444,0
"289","Alonzo Mourning",1.56180374251451,0.35365246002772,0
"290","Troy Murphy",0.483132514007731,1.32885942884811,0
"291","Ronald Murray",-1.0302359314282,-0.756746959872683,0
"292","Dikembe Mutombo",1.09942346555987,0.660685995163292,0
"293",NA,1.75325249538357,0.296915793848163,0
"294",NA,1.45499674203269,0.487407507940025,0
"295","Steve Nash",4.02458302441331,6.17070513769926,1
"296","Jameer Nelson",-0.606163876037534,1.372338139963,0
"297","Rasho Nesterovic",0.829276242135469,0.338502370828713,0
"298","Ira Newble",0.742302718324502,-1.42813363852834,0
"299",NA,1.24553770104285,1.60466108222943,0
"300","David Noel",-0.695013388528372,-1.91380958853387,0
"301","Steve Novak",-0.293985966482026,-2.23160448458733,0
"302","Dirk Nowitzki",2.0490159352856,7.64815917012167,1
"303","Patrick O'Bryant",-1.25692594024207,-2.29022626956654,0
"304","Jermaine O'Neal",-1.40797649859129,3.20464084540484,1
"305","Shaquille O'Neal",2.77775797500935,1.91122742486513,1
"306","Fabricio Oberto",0.909579201944008,0.116337427384469,0
"307","Lamar Odom",0.325896852122894,3.18990830610152,0
"308","Emeka Okafor",1.29187948856849,3.7142142307619,0
"309","Mehmet Okur",1.14119280101218,3.5538224218151,1
"310","Kevin Ollie",-0.532101969848613,-1.5093584746523,0
"311","Michael Olowokandi",-0.953919456441768,-2.36245138901746,0
"312","Bo Outlaw",1.63817027953255,-1.40019516343534,0
"313","Travis Outlaw",-0.755611062552972,-0.169343481179814,0
"314","Zaza Pachulia",0.425855244496982,1.68802471678278,0
"315","Scott Padgett",-1.6430678038214,-2.22746297782675,0
"316","Jannero Pargo",-0.444077609135188,-0.234273288300774,0
"317","Anthony Parker",1.93738815900475,1.92626183752076,0
"318","Smush Parker",0.151054887647513,0.226143359932669,0
"319","Tony Parker",1.49833008939329,4.28623110483376,1
"320","Ruben Patterson",1.69975818062277,2.14122764021609,0
"321","Chris Paul",-0.353901334715057,4.84610737475508,0
"322","Sasha Pavlovic",0.64487040111568,0.102966992805903,0
"323","Gary Payton",-1.25559945248921,-0.845095517952366,0
"324","Kendrick Perkins",0.151061292990968,-0.600344488026968,0
"325","Morris Peterson",0.547823145106296,-0.101648147895477,0
"326","Johan Petro",0.414248852094902,-0.711675724037576,0
"327","Eric Piatkowski",-0.0110922219022303,-2.48151041392151,0
"328","Paul Pierce",0.826112855430377,3.7380808936606,0
"329",NA,1.63647073905623,0.527762023395361,0
"330","Kevinn Pinkney",-0.137651556921968,-1.08431640563203,0
"331","Scot Pollard",-0.71800352267412,-2.27510438048055,0
"332","James Posey",0.860839058290509,1.12276598576527,0
"333","Vitaly Potapenko",-4.91645584192589,-3.88741566110364,0
"334","Leon Powe",0.410980011557323,-1.11781356297073,0
"335","Josh Powell",0.102987614922019,-1.92688494706238,0
"336","Roger Powell",-2.58915367830954,-3.38611980767598,0
"337","Ronnie Price",-0.423880541928209,-1.9536000394093,0
"338","Tayshaun Prince",0.367489087393153,3.0099357748458,0
"339","Joel Przybilla",-0.276380858684428,-1.70178552563424,0
"340","Chris Quinn",-0.549173247123545,-1.79036740643614,0
"341","Vladimir Radmanovic",-0.160869263690686,-1.11443656042178,0
"342","Shavlik Randolph",0.0429684630696974,-0.976678863987384,0
"343","Zach Randolph",-0.281179286062192,3.74517432139135,0
"344","Theo Ratliff",0.349281453590034,-0.554324212634781,0
"345","Allan Ray",-0.0778991766056035,-1.57165173629585,0
"346","Michael Redd",1.55238357481589,3.17858593292097,0
"347","J.J. Redick",0.543266619325252,-0.983454684220542,0
"348","Justin Reed",-0.959322632233757,-2.46274694382006,0
"349","Jared Reiner",-1.53530172852998,-2.29881504686361,0
"350","Jason Richardson",-0.310538790938062,1.43668094993252,0
"351","Jeremy Richardson",1.48652040827275,-2.68047285941569,0
"352","Quentin Richardson",0.234087562157859,1.57834703343319,0
"353","Luke Ridnour",-0.471743355621091,0.491750765936724,0
"354","Anthony Roberson",0.202356045666572,-1.94079173195983,0
"355","Lawrence Roberts",0.155714552026671,-0.56900043031806,0
"356","Bernard Robinson",-1.22466388017371,-2.15563914237933,0
"357","Clifford Robinson",-1.07958253729134,-1.67459183258972,0
"358","Nate Robinson",0.576322422187907,0.0403755353061145,0
"359",NA,-0.507802679764127,-1.2529475414676,0
"360","Rajon Rondo",-0.876960812765131,0.333254942824306,0
"361","Jalen Rose",0.998026696942864,-1.81036341356777,0
"362","Malik Rose",-0.758839237206559,-1.79576211380946,0
"363","Quinton Ross",-0.173792635601922,-0.436123148534408,0
"364","Brandon Roy",0.326354252876748,2.22068781663189,0
"365","Michael Ruffin",-1.10163471426753,-2.41872046808418,0
"366","John Salmons",0.391146922632402,0.587689690162137,0
"367","Jamal Sampson",1.19846894666072,-2.10429396267312,0
"368","Brian Scalabrine",0.271908552752333,-1.49767944149158,0
"369","Luke Schenscher",-1.65369123988919,-2.28603506774406,0
"370","Thabo Sefolosha",-0.598581693811411,-1.48379694761135,0
"371","Mouhamed Sene",-0.728619716074707,-2.38919008053326,0
"372","Wayne Simien",-0.912992032985771,-2.07927152191745,0
"373","Cedric Simmons",-0.919126945339577,-1.94079345990426,0
"374","James Singleton",-0.708301609847984,-1.92704412255734,0
"375","Brian Skinner",0.0878918554045122,-0.815225031741164,0
"376",NA,0.972376785029378,-2.41825409244096,0
"377","Craig Smith",0.844135581832388,0.313192395811859,0
"378","J.R. Smith",1.49190224379341,0.485632903249311,0
