"","Yr","Player","allstar"
"1122",1998,"Anfernee Hardaway",1
"1123",1998,"Tim Hardaway",1
"1124",1998,"Grant Hill",1
"1125",1998,"Michael Jordan",1
"1126",1998,"Shawn Kemp",1
"1127",1998,"Reggie Miller",1
"1128",1998,"Dikembe Mutombo",1
"1129",1998,"Glen Rice",1
"1130",1998,"Steve Smith",1
"1131",1998,"Rik Smits",1
"1132",1998,"Antoine Walker",1
"1133",1998,"Jayson Williams",1
"1134",1998,"Vin Baker",1
"1135",1998,"Kobe Bryant",1
"1136",1998,"Tim Duncan",1
"1137",1998,"Kevin Garnett",1
"1138",1998,"Eddie Jones",1
"1139",1998,"Jason Kidd",1
"1140",1998,"Karl Malone",1
"1141",1998,"Shaquille O'Neal",1
"1142",1998,"Gary Payton",1
"1143",1998,"Mitch Richmond",1
"1144",1998,"David Robinson",1
"1145",1998,"Nick Van Exel",1
"1146",2000,"Ray Allen",1
"1147",2000,"Vince Carter",1
"1148",2000,"Dale Davis",1
"1149",2000,"Grant Hill",1
"1150",2000,"Allan Houston",1
"1151",2000,"Allen Iverson",1
"1152",2000,"Eddie Jones",1
"1153",2000,"Reggie Miller",1
"1154",2000,"Alonzo Mourning",1
"1155",2000,"Dikembe Mutombo",1
"1156",2000,"Glenn Robinson",1
"1157",2000,"Jerry Stackhouse",1
"1158",2000,"Kobe Bryant",1
"1159",2000,"Tim Duncan",1
"1160",2000,"Michael Finley",1
"1161",2000,"Kevin Garnett",1
"1162",2000,"Jason Kidd",1
"1163",2000,"Karl Malone",1
"1164",2000,"Shaquille O'Neal",1
"1165",2000,"Gary Payton",1
"1166",2000,"David Robinson",1
"1167",2000,"John Stockton",1
"1168",2000,"Rasheed Wallace",1
"1169",2000,"Chris Webber",1
"1170",2001,"Ray Allen",1
"1171",2001,"Vince Carter",1
"1172",2001,"Antonio Davis",1
"1173",2001,"Grant Hill",1
"1174",2001,"Allan Houston",1
"1175",2001,"Allen Iverson",1
"1176",2001,"Stephon Marbury",1
"1177",2001,"Anthony Mason",1
"1178",2001,"Tracy McGrady",1
"1179",2001,"Alonzo Mourning",1
"1180",2001,"Dikembe Mutombo",1
"1181",2001,"Theo Ratliff",1
"1182",2001,"Glenn Robinson",1
"1183",2001,"Latrell Sprewell",1
"1184",2001,"Jerry Stackhouse",1
"1185",2001,"Kobe Bryant",1
"1186",2001,"Vlade Divac",1
"1187",2001,"Tim Duncan",1
"1188",2001,"Michael Finley",1
"1189",2001,"Kevin Garnett",1
"1190",2001,"Jason Kidd",1
"1191",2001,"Karl Malone",1
"1192",2001,"Antonio McDyess",1
"1193",2001,"Shaquille O'Neal",1
"1194",2001,"Gary Payton",1
"1195",2001,"David Robinson",1
"1196",2001,"Rasheed Wallace",1
"1197",2001,"Chris Webber",1
"1198",2002,"Shareef Abdur-Rahim",1
"1199",2002,"Ray Allen",1
"1200",2002,"Vince Carter",1
"1201",2002,"Baron Davis",1
"1202",2002,"Allen Iverson",1
"1203",2002,"Michael Jordan",1
"1204",2002,"Jason Kidd",1
"1205",2002,"Tracy McGrady",1
"1206",2002,"Alonzo Mourning",1
"1207",2002,"Dikembe Mutombo",1
"1208",2002,"Jermaine O'Neal",1
"1209",2002,"Paul Pierce",1
"1210",2002,"Antoine Walker",1
"1211",2002,"Elton Brand",1
